Record Length,11250,,Source,CH2
Sample Interval, CH2:0.0000004000000,,Second,Volt
Vertical Units, CH2:V,,-0.00045000000,11.00000
Vertical Scale, CH2:5.00,,-0.00044992000,11.20000
Vertical Offset, CH2:0.00,,-0.00044984000,11.20000
Horizontal Units,s,,-0.00044976000,11.20000
Horizontal Scale,0.0000500000,,-0.00044968000,11.20000
Model Number,SDS1072CML,,-0.00044960000,11.20000
Serial Number,SDS100P2150691,,-0.00044951997,11.20000
Software Version,5.01.02.29,,-0.00044944000,11.20000
,,,-0.00044936000,11.40000
,,,-0.00044928000,11.40000
,,,-0.00044920000,11.40000
,,,-0.00044912000,11.40000
,,,-0.00044904000,11.60000
,,,-0.00044896000,11.60000
,,,-0.00044888000,11.60000
,,,-0.00044879997,11.80000
,,,-0.00044872000,11.80000
,,,-0.00044864000,12.00000
,,,-0.00044856000,12.00000
,,,-0.00044848000,12.00000
,,,-0.00044840000,12.00000
,,,-0.00044832000,12.00000
,,,-0.00044824000,12.00000
,,,-0.00044816000,12.20000
,,,-0.00044807997,12.20000
,,,-0.00044800000,12.40000
,,,-0.00044792000,12.40000
,,,-0.00044784000,12.40000
,,,-0.00044776000,12.40000
,,,-0.00044768000,12.40000
,,,-0.00044760000,12.40000
,,,-0.00044752000,12.60000
,,,-0.00044744000,12.60000
,,,-0.00044735997,12.60000
,,,-0.00044728000,12.80000
,,,-0.00044720000,12.80000
,,,-0.00044712000,12.80000
,,,-0.00044704000,12.80000
,,,-0.00044696000,13.00000
,,,-0.00044688000,13.20000
,,,-0.00044680000,13.00000
,,,-0.00044672000,13.20000
,,,-0.00044663997,13.20000
,,,-0.00044656000,13.20000
,,,-0.00044648000,13.20000
,,,-0.00044640000,13.20000
,,,-0.00044632000,13.40000
,,,-0.00044624000,13.40000
,,,-0.00044616000,13.40000
,,,-0.00044608000,13.60000
,,,-0.00044600000,13.60000
,,,-0.00044592000,13.80000
,,,-0.00044584000,13.80000
,,,-0.00044576000,13.80000
,,,-0.00044568000,13.80000
,,,-0.00044560000,14.00000
,,,-0.00044552000,14.00000
,,,-0.00044544000,14.00000
,,,-0.00044536000,14.20000
,,,-0.00044528000,14.20000
,,,-0.00044520000,14.20000
,,,-0.00044512000,14.20000
,,,-0.00044504000,14.20000
,,,-0.00044496000,14.20000
,,,-0.00044488000,14.20000
,,,-0.00044480000,14.20000
,,,-0.00044472000,14.20000
,,,-0.00044464000,14.20000
,,,-0.00044456000,14.20000
,,,-0.00044448000,14.20000
,,,-0.00044440000,14.20000
,,,-0.00044432000,14.20000
,,,-0.00044424000,14.20000
,,,-0.00044416000,14.20000
,,,-0.00044408000,14.20000
,,,-0.00044400000,14.20000
,,,-0.00044392000,14.20000
,,,-0.00044384000,14.20000
,,,-0.00044376000,14.00000
,,,-0.00044368000,14.20000
,,,-0.00044360000,14.20000
,,,-0.00044352000,14.20000
,,,-0.00044344000,14.40000
,,,-0.00044336000,14.20000
,,,-0.00044328000,14.20000
,,,-0.00044320000,14.20000
,,,-0.00044312000,14.20000
,,,-0.00044304000,14.20000
,,,-0.00044296000,14.20000
,,,-0.00044288000,14.20000
,,,-0.00044280000,14.20000
,,,-0.00044272000,14.20000
,,,-0.00044263997,14.20000
,,,-0.00044256000,14.20000
,,,-0.00044248000,14.20000
,,,-0.00044240000,14.20000
,,,-0.00044232000,14.20000
,,,-0.00044224000,14.20000
,,,-0.00044216000,14.20000
,,,-0.00044208000,14.20000
,,,-0.00044200000,14.20000
,,,-0.00044191997,14.20000
,,,-0.00044184000,14.20000
,,,-0.00044176000,14.40000
,,,-0.00044168000,14.20000
,,,-0.00044160000,14.20000
,,,-0.00044152000,14.20000
,,,-0.00044144000,14.20000
,,,-0.00044136000,14.20000
,,,-0.00044128000,14.20000
,,,-0.00044119997,14.20000
,,,-0.00044112000,14.20000
,,,-0.00044104000,14.20000
