Frequency [Hz]   COH [a.u.]   Phase [rad]
16.992188       0.48008208      -0.13732906
17.089844       0.54505116      -0.10143727
17.187500       0.50590865    -0.0093659256
17.285156       0.46390121     -0.054243747
17.382813       0.30748108     -0.030553997
17.480469       0.35644682     -0.049515352
17.578125       0.42974292      -0.10133018
17.675781       0.51348160       0.21891794
17.773438       0.36329326     -0.070251420
17.871094       0.30413322      -0.38951755
17.968750       0.42096757       0.17613252
18.066406       0.48346615      0.033280615
18.164063       0.36522487       0.16728936
18.261719       0.32824054      0.099206686
18.359375       0.41395583     -0.082230479
18.457031       0.53319012       0.10037517
18.554688       0.56777358      0.098068401
18.652344       0.39316478     -0.098838925
18.750000       0.44354734       0.22792380
18.847656       0.53889322       0.24273413
18.945313       0.44622628       0.21348037
19.042969       0.43064837     -0.042280111
19.140625       0.42006632      0.069498077
19.238281       0.35875992       0.27588013
19.335938       0.34513812       0.25268245
19.433594       0.46448049      -0.28481284
19.531250       0.43588490       0.27558053
19.628906       0.46965417       0.46881339
19.726563       0.44467521      0.019922800
19.824219       0.39955043     -0.014298063
19.921875       0.40550249     -0.018462222
20.019531       0.44685238       0.13016273
20.117188       0.44168232       0.17131683
20.214844       0.55111828       0.17909247
20.312500       0.57973107       0.15252000
20.410156       0.49041148      0.068638079
20.507813       0.45522175      -0.13460112
20.605469       0.42943744      0.099616513
20.703125       0.39906802     -0.029673902
20.800781       0.51098215      -0.27114421
20.898438       0.43336866      -0.29136899
20.996094       0.45250706     -0.040588785
21.093750       0.44966390      -0.15785684
21.191406       0.50608832      -0.10750695
21.289063       0.51582631   -0.00088119408
21.386719       0.49764257      -0.22014867
21.484375       0.46037131      -0.35568050
21.582031       0.48740957      -0.19377649
21.679688       0.47458018      0.044586357
21.777344       0.37957973      -0.12976439
21.875000       0.42002407      -0.20794888
21.972656       0.43272804     -0.077658989
22.070313       0.35860623     -0.034275159
22.167969       0.53271016       0.16917966
22.265625       0.44293922       0.19519480
22.363281       0.41203506      0.086840123
22.460938       0.52687815      -0.10918488
22.558594       0.58379678      0.013832766
22.656250       0.44351586      -0.25112361
22.753906       0.47841878     -0.066082358
22.851563       0.58672938     0.0022254689
22.949219       0.47719988      -0.15174134
23.046875       0.40137322      -0.23981804
23.144531       0.45972748      -0.23789589
23.242188       0.53839123      -0.20045406
23.339844       0.56485085     -0.033302981
23.437500       0.56643127       0.27096164
23.535156       0.51165007       0.14916165
23.632813       0.44981591      -0.21479388
23.730469       0.46782753     -0.029116193
23.828125       0.44591412      0.011390296
23.925781       0.52141263      -0.13063936
24.023438       0.51801688     -0.069347598
24.121094       0.47921629       0.19804533
24.218750       0.51922546       0.21449557
24.316406       0.45597271     -0.029771425
24.414063       0.48695940     -0.066571839
24.511719       0.57465736      0.099397533
24.609375       0.39880140       0.18770818
24.707031       0.50314935      0.099621095
24.804688       0.53012823     -0.081244603
24.902344       0.49711462       0.25090972
25.000000       0.49515165      0.095038265
25.097656       0.53660603    -0.0046539744
25.195313       0.47760702       0.17413120
25.292969       0.41135203       0.28324169
25.390625       0.39914360      0.016863292
25.488281       0.53723365      -0.14507276
25.585938       0.57622737     -0.025211213
25.683594       0.52555622       0.24821112
25.781250       0.50154001       0.10106871
25.878906       0.44108265     -0.025211470
25.976563       0.51892360      -0.25239787
26.074219       0.67138837      -0.24881497
26.171875       0.53190709     -0.090296030
26.269531       0.49175400     -0.048698626
26.367188       0.53621923      0.010583824
26.464844       0.55065327      0.015080681
26.562500       0.50993127     -0.096734762
26.660156       0.40874858    -0.0054863878
26.757813       0.43812525      0.026742976
26.855469       0.47713570     -0.026608024
26.953125       0.51847839      -0.24879539
27.050781       0.49001079     -0.089872643
27.148438       0.43103877      0.089027986
27.246094       0.47676888      -0.13190363
27.343750       0.43948477     -0.077396691
27.441406       0.37642280       0.16721493
27.539063       0.37062114       0.17294846
27.636719       0.37218311      0.017620647
27.734375       0.53287664       0.22591494
27.832031       0.51497872       0.10613952
27.929688       0.47240002     -0.075959079
28.027344       0.45192108      0.022244448
28.125000       0.47080472     -0.067940369
28.222656       0.51361326      0.078837097
28.320313       0.52249363       0.12870453
28.417969       0.45561456       0.17996749
28.515625       0.57569536      0.014963946
28.613281       0.48485996      -0.10595959
28.710938       0.52628059      0.042788833
28.808594       0.57593639       0.19540308
28.906250       0.52048443       0.18001644
29.003906       0.47008434       0.11075551
29.101563       0.43391579     -0.063864738
29.199219       0.46760647      0.096837856
29.296875       0.42049452      -0.10090307
29.394531       0.55896568      -0.22583652
29.492188       0.59069456      -0.12708293
29.589844       0.49172697      -0.20573056
29.687500       0.43676100      -0.23213509
29.785156       0.36514281      -0.26701355
29.882813       0.41733284      -0.47630775
29.980469       0.49828054      -0.75577128
30.078125       0.39168303      -0.89019805
30.175781       0.44241119      -0.83371067
30.273438       0.58926302      -0.91884470
30.371094       0.48002409      -0.80980891
30.468750       0.46892667      -0.26050413
30.566406       0.49336561     -0.015712285
30.664063       0.35773424       0.11307624
30.761719       0.47457306     -0.041307595
30.859375       0.58800399     -0.066019736
30.957031       0.63536504      -0.10677522
31.054688       0.56946232     -0.013994143
31.152344       0.42238803      0.054718401
31.250000       0.49412787      0.020600358
31.347656       0.55917907    -0.0080174413
31.445313       0.53705712     -0.075931557
31.542969       0.38316291      0.086353824
31.640625       0.31519993       0.14790167
31.738281       0.48009424      0.097480692
31.835938       0.53290007      0.051870745
31.933594       0.44692238     -0.060490910
32.031250       0.51646183      0.058780026
32.128906       0.54171674      0.059193656
